cliente;IDUC;identificacao;classe;competencia;prioridade;score_final;valor_estimado_mes;valor_estimado_ano;energia_nao_faturada_mes;score_regra;score_anomalia;consumo_atual;media_hist;media_12m;queda_ratio;queda_yoy;peer_ratio;n_zeros_janela;baixa_renda;sazonal_prone;micro_geracao;sazonal;baseline_alto;origem;motivos
Alianca;ALI000001;I**** | CENTRO;RESIDENCIAL;2025-12;ALTA;93.4;591.1;7093.2;691.0;100.0;81.0;161.0;22350.333333333332;5730.333333333333;99.0;-15.0;3.0;0;0;0;0;0;1;regra;"Queda de consumo de 99% vs média (>=60%); Consumo 3% da média do sistema para a classe"
Alianca;ALI000002;B******** R***** | RINCÃO ZONA SUL;RESIDENCIAL;2025-12;ALTA;92.1;591.1;7093.2;691.0;100.0;77.5;26.0;5169.0;5169.0;99.0;;1.0;0;0;0;0;0;1;regra;"Queda de consumo de 99% vs média (>=60%); Consumo 1% da média do sistema para a classe"
Alianca;ALI000003;I**** | LIRI;COMERCIAL, SERVIÇOS E OUTRAS ;2025-12;ALTA;92.1;591.1;7093.2;691.0;100.0;77.4;33.0;1877.6666666666667;11792.833333333334;98.0;100.0;0.0;0;0;0;0;0;1;regra;"Queda de consumo de 98% vs média (>=60%); Consumo 0% da média do sistema para a classe"
Alianca;ALI000004;B******** R***** | RINCÃO CENTRO;COMERCIAL, SERVIÇOS E OUTRAS ;2025-12;ALTA;91.6;591.1;7093.2;691.0;100.0;76.0;644.0;2790.0;6030.25;77.0;89.0;11.0;0;0;0;0;0;1;regra;"Queda de consumo de 77% vs média (>=60%); Consumo 11% da média do sistema para a classe"
Alianca;ALI000005;I**** | JAQUELINE;RESIDENCIAL;2025-12;ALTA;87.7;591.1;7093.2;691.0;100.0;64.7;831.0;2719.0;4167.625;69.0;81.0;18.0;0;0;0;0;0;1;regra;"Queda de consumo de 69% vs média (>=60%); Consumo 18% da média do sistema para a classe"
Alianca;ALI000006;I**** | CENTRO;COMERCIAL, SERVIÇOS E OUTRAS ;2025-12;ALTA;86.3;497.85;5974.2;582.0;100.0;60.8;3.0;585.3333333333334;1672.5833333333333;99.0;100.0;0.0;0;0;0;0;0;0;regra;"Queda de consumo de 99% vs média (>=60%); Consumo 0% da média do sistema para a classe"
Alianca;ALI000007;B******** R***** | RINCÃO ZONA SUL;RESIDENCIAL;2025-12;ALTA;84.1;26.79;321.48;31.0;100.0;54.6;2.0;33.333333333333336;14.666666666666666;94.0;-100.0;13.0;2;0;0;0;0;0;regra;"Queda de consumo de 94% vs média (>=60%); Consumo 13% da média do sistema para a classe"
Alianca;ALI000008;I**** | CENTRO;RESIDENCIAL;2025-12;ALTA;83.5;591.1;7093.2;691.0;100.0;52.9;79.0;1533.0;1533.0;95.0;;5.0;0;0;0;0;0;1;regra;"Queda de consumo de 95% vs média (>=60%); Consumo 5% da média do sistema para a classe"
Alianca;ALI000009;B******** R***** | RINCÃO CENTRO;RESIDENCIAL;2025-12;ALTA;83.3;591.1;7093.2;691.0;100.0;52.3;67.0;930.3333333333334;930.3333333333334;93.0;;7.0;0;0;0;0;0;1;regra;"Queda de consumo de 93% vs média (>=60%); Consumo 7% da média do sistema para a classe"
Alianca;ALI000010;J******** | BALNEÁRIO ESPLANADA;RESIDENCIAL;2025-12;ALTA;82.8;81.79;981.48;96.0;100.0;50.8;15.0;110.66666666666667;67.16666666666667;86.0;55.0;21.0;2;0;0;0;0;0;regra;"Queda de consumo de 86% vs média (>=60%); Consumo 21% da média do sistema para a classe"
