cliente;IDUC;identificacao;classe;competencia;prioridade;score_final;valor_estimado_mes;valor_estimado_ano;energia_nao_faturada_mes;score_regra;score_anomalia;consumo_atual;media_hist;media_12m;queda_ratio;queda_yoy;peer_ratio;n_zeros_janela;baixa_renda;sazonal_prone;micro_geracao;sazonal;baseline_alto;origem;motivos
Cersul;CER000001;T**** | Vila São José;Rural;2025-12;ALTA;87.4;496.71;5960.52;738.0;100.0;63.9;400.0;2552.3333333333335;10885.583333333334;84.0;65.0;4.0;0;0;1;0;0;0;regra;"Queda de consumo de 65% vs mesmo mês do ano anterior (>=60%); Consumo 4% da média do sistema para a classe"
Cersul;CER000002;E*** | Garapuvu;Rural;2025-12;ALTA;85.5;16.15;193.8;24.0;100.0;58.5;1.0;48.333333333333336;587.5833333333334;98.0;96.0;0.0;2;0;1;0;0;0;regra;"Queda de consumo de 96% vs mesmo mês do ano anterior (>=60%); Consumo 0% da média do sistema para a classe"
Cersul;CER000003;T**** | Livramento;Rural;2025-12;ALTA;84.7;426.71;5120.52;634.0;100.0;56.3;36.0;640.0;6852.666666666667;94.0;95.0;1.0;0;0;1;0;0;0;regra;"Queda de consumo de 95% vs mesmo mês do ano anterior (>=60%); Consumo 1% da média do sistema para a classe"
Cersul;CER000004;T**** | Imigrantes;Residencial;2025-12;ALTA;84.2;20.19;242.28;30.0;100.0;54.9;1.0;31.0;111.08333333333333;97.0;99.0;1.0;2;0;0;0;0;0;regra;"Queda de consumo de 97% vs média (>=60%); Consumo 1% da média do sistema para a classe"
Cersul;CER000005;T**** | Morro Chato;Rural;2025-12;ALTA;83.9;852.43;10229.16;1267.0;100.0;54.0;26.0;1238.3333333333333;2370.25;98.0;99.0;1.0;0;0;1;0;0;1;regra;"Queda de consumo de 99% vs mesmo mês do ano anterior (>=60%); Consumo 1% da média do sistema para a classe"
Cersul;CER000006;T**** | Cidade Alta;Comercial;2025-12;ALTA;83.8;266.75;3201.0;396.0;100.0;53.7;7.0;403.3333333333333;1153.3333333333333;98.0;100.0;13.0;0;0;0;0;0;0;regra;"Queda de consumo de 98% vs média (>=60%); Consumo 13% da média do sistema para a classe"
Cersul;CER000007;M****** | Barra do Cedro;Industrial;2025-12;ALTA;82.7;852.43;10229.16;1267.0;100.0;50.7;60.0;1549.3333333333333;2660.8333333333335;96.0;99.0;2.0;0;0;0;0;0;1;regra;"Queda de consumo de 96% vs média (>=60%); Consumo 2% da média do sistema para a classe"
Cersul;CER000008;T**** | São Luiz;Residencial;2025-12;ALTA;82.1;54.74;656.88;81.0;100.0;48.9;1.0;82.33333333333333;221.5;99.0;100.0;0.0;1;0;0;0;0;0;regra;"Queda de consumo de 99% vs média (>=60%); Consumo 0% da média do sistema para a classe"
Cersul;CER000009;M**** G***** | Sanga das Pedras;Rural;2025-12;ALTA;82.0;557.28;6687.36;828.0;100.0;48.5;35.0;265.0;2766.9166666666665;87.0;96.0;1.0;0;0;1;0;0;0;regra;"Queda de consumo de 96% vs mesmo mês do ano anterior (>=60%); Consumo 1% da média do sistema para a classe"
Cersul;CER000010;E*** | Taquaruçu;Rural;2025-12;ALTA;81.3;187.78;2253.36;279.0;100.0;46.5;21.0;144.0;3199.0;85.0;93.0;1.0;0;0;1;0;0;0;regra;"Queda de consumo de 93% vs mesmo mês do ano anterior (>=60%); Consumo 1% da média do sistema para a classe"
Cersul;CER000011;T**** | Livramento;Rural;2025-12;ALTA;81.2;118.46;1421.52;176.0;100.0;46.4;54.0;149.33333333333334;1420.6666666666667;64.0;77.0;4.0;1;0;1;0;0;0;regra;"Queda de consumo de 77% vs mesmo mês do ano anterior (>=60%); Consumo 4% da média do sistema para a classe"
Cersul;CER000012;M****** | Novo Paraíso;Poderes Públicos;2025-12;ALTA;80.6;49.36;592.32;73.0;100.0;44.6;5.0;78.33333333333333;84.91666666666667;94.0;97.0;6.0;1;0;0;0;0;0;regra;"Queda de consumo de 94% vs média (>=60%); Consumo 6% da média do sistema para a classe"
