cliente;IDUC;identificacao;classe;competencia;prioridade;score_final;valor_estimado_mes;valor_estimado_ano;energia_nao_faturada_mes;score_regra;score_anomalia;consumo_atual;media_hist;media_12m;queda_ratio;queda_yoy;peer_ratio;n_zeros_janela;baixa_renda;sazonal_prone;micro_geracao;sazonal;baseline_alto;origem;motivos
Cetril;CET000001;I***** | FEITAL;RESIDENCIAL;2025-12;ALTA;91.7;542.96;6515.52;503.0;100.0;76.3;2.0;2845.0;2985.0833333333335;100.0;100.0;0.0;0;0;0;0;0;1;regra;"Queda de consumo de 100% vs média (>=60%); Consumo 0% da média do sistema para a classe"
Cetril;CET000002;I***** | FEITAL;RURAL;2025-12;ALTA;90.6;542.96;6515.52;503.0;100.0;73.2;1.0;3035.3333333333335;2356.3333333333335;100.0;100.0;0.0;0;0;1;0;0;1;regra;"Queda de consumo de 100% vs mesmo mês do ano anterior (>=60%); Consumo 0% da média do sistema para a classe"
Cetril;CET000003;I***** | MORRO GRANDE;RESIDENCIAL;2025-12;ALTA;90.4;542.96;6515.52;503.0;100.0;72.6;0.0;3339.0;848.1666666666666;100.0;100.0;;1;1;0;0;0;1;regra;"Tarifa social com consumo muito alto (848 kWh/mês méd. 12m); Consumo zerou tendo histórico anterior"
Cetril;CET000004;I***** | VERAVA;RURAL;2025-12;ALTA;88.7;542.96;6515.52;503.0;100.0;67.8;501.0;2327.6666666666665;2306.4166666666665;78.0;80.0;22.0;0;0;1;0;0;1;regra;"Queda de consumo de 80% vs mesmo mês do ano anterior (>=60%); Consumo 22% da média do sistema para a classe"
Cetril;CET000005;P****** | PIRATUBA;RURAL;2025-12;ALTA;88.3;129.59;1555.08;120.0;100.0;66.5;40.0;2413.3333333333335;1603.3333333333333;98.0;75.0;2.0;0;0;1;0;0;0;regra;"Queda de consumo de 75% vs mesmo mês do ano anterior (>=60%); Consumo 2% da média do sistema para a classe"
Cetril;CET000006;I***** | RIO DE UNA;RESIDENCIAL;2025-12;ALTA;88.1;542.96;6515.52;503.0;100.0;65.9;275.0;1622.0;2242.75;83.0;;12.0;0;0;0;0;0;1;regra;"Queda de consumo de 83% vs média (>=60%); Consumo 12% da média do sistema para a classe"
Cetril;CET000007;I***** | CAPIM AZEDO;RURAL;2025-12;ALTA;88.1;542.96;6515.52;503.0;100.0;66.0;505.0;1755.3333333333333;2102.75;71.0;73.0;24.0;0;0;1;0;0;1;regra;"Queda de consumo de 73% vs mesmo mês do ano anterior (>=60%); Consumo 24% da média do sistema para a classe"
Cetril;CET000008;I***** | PARURU;SERVIÇOS PÚBLICO;2025-12;ALTA;85.7;542.96;6515.52;503.0;100.0;59.1;100.0;1283.3333333333333;1160.1666666666667;92.0;95.0;6.0;0;0;0;0;0;1;regra;"Queda de consumo de 92% vs média (>=60%); Consumo 6% da média do sistema para a classe"
Cetril;CET000009;I***** | VOTORANTIM;RESIDENCIAL;2025-12;ALTA;83.8;542.96;6515.52;503.0;100.0;53.7;100.0;700.0;1295.8333333333333;86.0;94.0;8.0;0;0;0;0;0;1;regra;"Queda de consumo de 86% vs média (>=60%); Consumo 8% da média do sistema para a classe"
Cetril;CET000010;I***** | RIO DE UNA;RESIDENCIAL;2025-12;ALTA;83.7;38.88;466.56;36.0;100.0;53.4;1.0;37.0;157.16666666666666;97.0;99.0;1.0;1;0;0;0;0;0;regra;"Queda de consumo de 97% vs média (>=60%); Consumo 1% da média do sistema para a classe"
Cetril;CET000011;I***** | CAMPO VERDE;RESIDENCIAL;2025-12;ALTA;83.0;542.96;6515.52;503.0;100.0;51.4;5.0;563.0;788.3333333333334;99.0;99.0;1.0;0;0;0;0;0;1;regra;"Queda de consumo de 99% vs média (>=60%); Consumo 1% da média do sistema para a classe"
Cetril;CET000012;I***** | VIEIRINHA;RESIDENCIAL;2025-12;ALTA;83.0;542.96;6515.52;503.0;100.0;51.6;326.0;1728.6666666666667;709.6666666666666;81.0;-39.0;46.0;0;1;0;0;0;1;regra;"Tarifa social com consumo muito alto (710 kWh/mês méd. 12m); Queda de consumo de 81% vs média (>=60%)"
