cliente;IDUC;identificacao;classe;competencia;prioridade;score_final;valor_estimado_mes;valor_estimado_ano;energia_nao_faturada_mes;score_regra;score_anomalia;consumo_atual;media_hist;media_12m;queda_ratio;queda_yoy;peer_ratio;n_zeros_janela;baixa_renda;sazonal_prone;micro_geracao;sazonal;baseline_alto;origem;motivos
Chesp;CHE000001;C**** d* R** V**** | RURAL;Rural;2025-12;ALTA;93.4;574.15;6889.8;597.0;100.0;81.0;2655.0;11716.0;11649.0;77.0;61.0;23.0;0;0;1;0;0;1;regra;"Queda de consumo de 61% vs mesmo mês do ano anterior (>=60%); Consumo 23% da média do sistema para a classe"
Chesp;CHE000002;U***** | RURAL;Rural;2025-12;ALTA;89.2;574.15;6889.8;597.0;100.0;69.3;13.0;3116.6666666666665;6377.75;100.0;99.0;0.0;0;0;1;0;0;1;regra;"Queda de consumo de 99% vs mesmo mês do ano anterior (>=60%); Consumo 0% da média do sistema para a classe"
Chesp;CHE000003;U***** | RURAL;Rural;2025-12;ALTA;88.8;574.15;6889.8;597.0;100.0;68.0;413.0;5710.0;2358.25;93.0;74.0;18.0;0;0;1;0;0;1;regra;"Queda de consumo de 74% vs mesmo mês do ano anterior (>=60%); Consumo 18% da média do sistema para a classe"
Chesp;CHE000004;U***** | RURAL;Residencial;2025-12;ALTA;88.5;574.15;6889.8;597.0;100.0;67.1;21.0;4029.3333333333335;1275.5833333333333;99.0;;2.0;0;0;0;0;0;1;regra;"Queda de consumo de 99% vs média (>=60%); Consumo 2% da média do sistema para a classe"
Chesp;CHE000005;U***** | CENTRO;Comercial;2025-12;ALTA;88.4;574.15;6889.8;597.0;100.0;66.9;72.0;1484.0;2566.6666666666665;95.0;98.0;3.0;1;0;0;0;0;1;regra;"Queda de consumo de 95% vs média (>=60%); Consumo 3% da média do sistema para a classe"
Chesp;CHE000006;N*** G***** | RURAL;Residencial;2025-12;ALTA;88.0;574.15;6889.8;597.0;100.0;65.7;174.0;3203.3333333333335;4584.0;95.0;;4.0;0;0;0;0;0;1;regra;"Queda de consumo de 95% vs média (>=60%); Consumo 4% da média do sistema para a classe"
Chesp;CHE000007;C**** d* R** V**** | RESIDENCIAL MAE LAUZITA;Residencial;2025-12;ALTA;85.5;120.86;1450.32;126.0;100.0;58.6;0.0;125.66666666666667;357.5833333333333;100.0;100.0;0.0;2;1;0;0;0;0;regra;"Tarifa social com consumo alto (358 kWh/mês méd. 12m); Consumo zerou tendo histórico anterior"
Chesp;CHE000008;U***** | RURAL;Rural;2025-12;ALTA;85.1;574.15;6889.8;597.0;100.0;57.4;42.0;2552.0;2054.5;98.0;100.0;2.0;0;0;1;0;0;1;regra;"Queda de consumo de 100% vs mesmo mês do ano anterior (>=60%); Consumo 2% da média do sistema para a classe"
Chesp;CHE000009;C**** d* R** V**** | ALEXANDRE PINTO;Residencial;2025-12;ALTA;84.8;35.9;430.8;37.0;100.0;56.7;1.0;38.333333333333336;102.0;97.0;99.0;1.0;2;0;0;0;0;0;regra;"Queda de consumo de 97% vs média (>=60%); Consumo 1% da média do sistema para a classe"
Chesp;CHE000010;S**** I***** | RURAL;Rural;2025-12;ALTA;84.7;351.03;4212.36;365.0;100.0;56.2;174.0;3261.6666666666665;1477.1666666666667;95.0;68.0;12.0;0;0;1;0;0;0;regra;"Queda de consumo de 68% vs mesmo mês do ano anterior (>=60%); Consumo 12% da média do sistema para a classe"
