cliente;IDUC;identificacao;classe;competencia;prioridade;score_final;valor_estimado_mes;valor_estimado_ano;energia_nao_faturada_mes;score_regra;score_anomalia;consumo_atual;media_hist;media_12m;queda_ratio;queda_yoy;peer_ratio;n_zeros_janela;baixa_renda;sazonal_prone;micro_geracao;sazonal;baseline_alto;origem;motivos
Alianca;ALI000001;I**** | CENTRO;RESIDENCIAL;2025-12;ALTA;93.4;591.1;7093.2;691.0;100.0;0.8102011255400842;161.0;22350.333333333332;5730.333333333333;0.9927965280159878;-0.15;0.028097731239092497;0;0;0;0;0;1;regra;"Queda de consumo de 99% vs média (>=60%); Consumo 3% da média do sistema para a classe"
Chesp;CHE000001;C**** d* R** V**** | RURAL;Rural;2025-12;ALTA;93.4;574.15;6889.8;597.0;100.0;0.8102591122898157;2655.0;11716.0;11649.0;0.7733868214407648;0.6142670347232312;0.22791655936131858;0;0;1;0;0;1;regra;"Queda de consumo de 61% vs mesmo mês do ano anterior (>=60%); Consumo 23% da média do sistema para a classe"
Alianca;ALI000002;B******** R***** | RINCÃO ZONA SUL;RESIDENCIAL;2025-12;ALTA;92.1;591.1;7093.2;691.0;100.0;0.774804382956965;26.0;5169.0;5169.0;0.9949700135422712;;0.005029986457728767;0;0;0;0;0;1;regra;"Queda de consumo de 99% vs média (>=60%); Consumo 1% da média do sistema para a classe"
Alianca;ALI000003;I**** | LIRI;COMERCIAL, SERVIÇOS E OUTRAS ;2025-12;ALTA;92.1;591.1;7093.2;691.0;100.0;0.7737501425191238;33.0;1877.6666666666667;11792.833333333334;0.9824249955618676;0.9978285187866026;0.0027982701602645636;0;0;0;0;0;1;regra;"Queda de consumo de 98% vs média (>=60%); Consumo 0% da média do sistema para a classe"
Cetril;CET000001;I***** | FEITAL;RESIDENCIAL;2025-12;ALTA;91.7;542.96;6515.52;503.0;100.0;0.7628492005511426;2.0;2845.0;2985.0833333333335;0.9992970123022847;0.9993038635572572;0.0006700167504187605;0;0;0;0;0;1;regra;"Queda de consumo de 100% vs média (>=60%); Consumo 0% da média do sistema para a classe"
Alianca;ALI000004;B******** R***** | RINCÃO CENTRO;COMERCIAL, SERVIÇOS E OUTRAS ;2025-12;ALTA;91.6;591.1;7093.2;691.0;100.0;0.7602175043201305;644.0;2790.0;6030.25;0.7691756272401433;0.8894610367318915;0.10679933665008291;0;0;0;0;0;1;regra;"Queda de consumo de 77% vs média (>=60%); Consumo 11% da média do sistema para a classe"
Cetril;CET000002;I***** | FEITAL;RURAL;2025-12;ALTA;90.6;542.96;6515.52;503.0;100.0;0.7316942607181494;1.0;3035.3333333333335;2356.3333333333335;0.9996705468921591;0.9995759117896522;0.00042444821731748726;0;0;1;0;0;1;regra;"Queda de consumo de 100% vs mesmo mês do ano anterior (>=60%); Consumo 0% da média do sistema para a classe"
Cetril;CET000003;I***** | MORRO GRANDE;RESIDENCIAL;2025-12;ALTA;90.4;542.96;6515.52;503.0;100.0;0.7261718809598448;0.0;3339.0;848.1666666666666;1.0;1.0;;1;1;0;0;0;1;regra;"Tarifa social com consumo muito alto (848 kWh/mês méd. 12m); Consumo zerou tendo histórico anterior"
Chesp;CHE000002;U***** | RURAL;Rural;2025-12;ALTA;89.2;574.15;6889.8;597.0;100.0;0.6925087064377582;13.0;3116.6666666666665;6377.75;0.9958288770053476;0.9899845916795069;0.0020382565067419253;0;0;1;0;0;1;regra;"Queda de consumo de 99% vs mesmo mês do ano anterior (>=60%); Consumo 0% da média do sistema para a classe"
Chesp;CHE000003;U***** | RURAL;Rural;2025-12;ALTA;88.8;574.15;6889.8;597.0;100.0;0.6798366899585762;413.0;5710.0;2358.25;0.9276707530647986;0.744430693069307;0.17514843087362172;0;0;1;0;0;1;regra;"Queda de consumo de 74% vs mesmo mês do ano anterior (>=60%); Consumo 18% da média do sistema para a classe"
