cliente;IDUC;identificacao;classe;competencia;prioridade;score_final;valor_estimado_mes;valor_estimado_ano;energia_nao_faturada_mes;score_regra;score_anomalia;consumo_atual;media_hist;media_12m;queda_ratio;queda_yoy;peer_ratio;n_zeros_janela;baixa_renda;sazonal_prone;micro_geracao;sazonal;baseline_alto;origem;motivos
Coopera;COO000001;Forquilhinha | Diego Silva;;01/05/2026;ALTA;81.2;118.75;1425.0;125.0;100.0;46.4;6;131.0;131.0;95.0;;;0;0;0;0;0;0;regra;"Queda de consumo de 95% vs média (>=60%); Troca de medidor acompanhada de queda de consumo"
Coopera;COO000002;Forquilhinha | Isabela Ferreira;;01/05/2026;ALTA;80.3;915.79;10989.48;964.0;80.0;81.0;0;2101.6666666666665;2101.6666666666665;100.0;;;2;0;0;0;0;1;regra;Consumo zerou tendo histórico anterior
Coopera;COO000003;Forquilhinha | Henrique Pereira;;01/05/2026;ALTA;80.2;200.77;2409.24;211.0;100.0;43.5;21;232.33333333333334;232.33333333333334;91.0;;;0;0;0;0;0;0;regra;"Queda de consumo de 91% vs média (>=60%); Troca de medidor acompanhada de queda de consumo"
Coopera;COO000004;Forquilhinha | Diego Oliveira;;01/05/2026;ALTA;80.1;915.79;10989.48;964.0;80.0;80.3;0;2715.3333333333335;2715.3333333333335;100.0;;;2;0;0;0;0;1;regra;Consumo zerou tendo histórico anterior
Coopera;COO000005;Forquilhinha | Tiago Carvalho;;01/05/2026;ALTA;79.9;222.3;2667.6;234.0;100.0;42.4;107;341.0;341.0;69.0;;;0;0;0;0;0;0;regra;"Queda de consumo de 69% vs média (>=60%); Troca de medidor acompanhada de queda de consumo"
Coopera;COO000006;Forquilhinha | Bruno Silva;;01/05/2026;ALTA;79.8;915.79;10989.48;964.0;70.0;97.9;3773;6815.333333333333;6815.333333333333;45.0;;;0;0;0;0;0;1;regra;"Queda de consumo de 45% vs média (40-60%); Troca de medidor acompanhada de queda de consumo"
Coopera;COO000007;Forquilhinha | Carla Almeida;;01/05/2026;ALTA;79.7;915.79;10989.48;964.0;80.0;79.2;0;2386.6666666666665;2386.6666666666665;100.0;;;2;0;0;0;0;1;regra;Consumo zerou tendo histórico anterior
Coopera;COO000008;Criciuma | Henrique Silva;;01/05/2026;ALTA;79.7;249.85;2998.2;263.0;100.0;41.9;63;326.0;326.0;81.0;;;0;0;0;0;0;0;regra;"Queda de consumo de 81% vs média (>=60%); Troca de medidor acompanhada de queda de consumo"
Coopera;COO000009;Forquilhinha | Sandra Almeida;;01/05/2026;ALTA;79.0;298.62;3583.44;314.0;100.0;39.9;82;396.3333333333333;396.3333333333333;79.0;;;0;0;0;0;0;0;regra;"Queda de consumo de 79% vs média (>=60%); Troca de medidor acompanhada de queda de consumo"
Coopera;COO000010;Forquilhinha | Sandra Carvalho;;01/05/2026;ALTA;78.9;915.79;10989.48;964.0;80.0;77.0;0;1679.0;1679.0;100.0;;;2;0;0;0;0;1;regra;Consumo zerou tendo histórico anterior
Coopera;COO000011;Forquilhinha | Henrique Lima;;01/05/2026;ALTA;78.4;497.48;5969.76;524.0;80.0;75.6;0;523.6666666666666;523.6666666666666;100.0;;;3;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000012;Forquilhinha | Tiago Rodrigues;;01/05/2026;ALTA;78.4;862.92;10355.04;908.0;80.0;75.3;0;908.3333333333334;908.3333333333334;100.0;;;2;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000013;Forquilhinha | Ana Costa;;01/05/2026;ALTA;78.3;828.08;9936.96;872.0;80.0;75.0;0;871.6666666666666;871.6666666666666;100.0;;;2;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000014;Forquilhinha | Nelson Martins;;01/05/2026;ALTA;78.3;915.79;10989.48;964.0;80.0;75.3;0;1555.3333333333333;1555.3333333333333;100.0;;;2;0;0;0;0;1;regra;Consumo zerou tendo histórico anterior
Coopera;COO000015;Forquilhinha | Isabela Pereira;;01/05/2026;ALTA;78.0;452.83;5433.96;477.0;80.0;74.4;0;476.6666666666667;476.6666666666667;100.0;;;3;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000016;Forquilhinha | Gabriela Martins;;01/05/2026;ALTA;77.1;624.15;7489.8;657.0;80.0;71.8;0;657.0;657.0;100.0;;;2;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000017;Forquilhinha | Diego Oliveira;;01/05/2026;ALTA;76.8;915.79;10989.48;964.0;80.0;70.9;0;1866.0;1866.0;100.0;;;1;0;0;0;0;1;regra;Consumo zerou tendo histórico anterior
Coopera;COO000018;Forquilhinha | Mariana Santos;;01/05/2026;ALTA;76.8;242.57;2910.84;255.0;80.0;70.9;0;255.33333333333334;255.33333333333334;100.0;;;3;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000019;Forquilhinha | Lucas Araújo;;01/05/2026;ALTA;76.5;192.85;2314.2;203.0;80.0;70.0;0;203.0;203.0;100.0;;;3;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000020;Forquilhinha | Vanessa Rodrigues;;01/05/2026;ALTA;76.1;119.07;1428.84;125.0;80.0;68.8;0;125.33333333333333;125.33333333333333;100.0;;;3;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000021;Forquilhinha | Bruno Lima;;01/05/2026;ALTA;76.0;132.68;1592.16;140.0;80.0;68.6;0;139.66666666666666;139.66666666666666;100.0;;;3;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000022;Forquilhinha | Sandra Santos;;01/05/2026;ALTA;76.0;131.73;1580.76;139.0;80.0;68.6;0;138.66666666666666;138.66666666666666;100.0;;;3;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000023;Forquilhinha | Mariana Oliveira;;01/05/2026;ALTA;76.0;110.2;1322.4;116.0;80.0;68.5;0;116.0;116.0;100.0;;;3;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000024;Forquilhinha | Sandra Gomes;;01/05/2026;ALTA;76.0;114.32;1371.84;120.0;80.0;68.7;0;120.33333333333333;120.33333333333333;100.0;;;3;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000025;Forquilhinha | Vanessa Araújo;;01/05/2026;ALTA;75.9;107.35;1288.2;113.0;80.0;68.4;0;113.0;113.0;100.0;;;3;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000026;Forquilhinha | Tiago Almeida;;01/05/2026;ALTA;75.9;97.53;1170.36;103.0;80.0;68.4;0;102.66666666666667;102.66666666666667;100.0;;;3;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000027;Forquilhinha | Carla Souza;;01/05/2026;ALTA;75.9;71.25;855.0;75.0;80.0;68.4;0;75.0;75.0;100.0;;;3;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000028;Forquilhinha | Henrique Gomes;;01/05/2026;ALTA;75.9;100.7;1208.4;106.0;80.0;68.4;0;106.0;106.0;100.0;;;3;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000029;Forquilhinha | Carla Ferreira;;01/05/2026;ALTA;75.9;70.93;851.16;75.0;80.0;68.4;0;74.66666666666667;74.66666666666667;100.0;;;3;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000030;Forquilhinha | Diego Ribeiro;;01/05/2026;ALTA;75.9;75.37;904.44;79.0;80.0;68.3;0;79.33333333333333;79.33333333333333;100.0;;;3;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000031;Forquilhinha | Isabela Lima;;01/05/2026;ALTA;75.8;78.22;938.64;82.0;80.0;68.0;0;82.33333333333333;82.33333333333333;100.0;;;3;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000032;Forquilhinha | Lucas Costa;;01/05/2026;ALTA;75.8;86.13;1033.56;91.0;80.0;67.9;0;90.66666666666667;90.66666666666667;100.0;;;3;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000033;Forquilhinha | Lucas Araújo;;01/05/2026;ALTA;75.8;86.13;1033.56;91.0;80.0;67.9;0;90.66666666666667;90.66666666666667;100.0;;;3;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000034;Forquilhinha | Gabriela Rodrigues;;01/05/2026;ALTA;75.8;69.98;839.76;74.0;80.0;67.9;0;73.66666666666667;73.66666666666667;100.0;;;3;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000035;Forquilhinha | Carla Costa;;01/05/2026;ALTA;75.7;297.67;3572.04;313.0;80.0;67.7;0;313.3333333333333;313.3333333333333;100.0;;;2;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000036;Forquilhinha | Sandra Ferreira;;01/05/2026;ALTA;75.6;63.97;767.64;67.0;80.0;67.5;0;67.33333333333333;67.33333333333333;100.0;;;3;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000037;Forquilhinha | Felipe Lima;;01/05/2026;ALTA;75.5;53.52;642.24;56.0;80.0;67.2;0;56.333333333333336;56.333333333333336;100.0;;;3;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000038;Forquilhinha | Mariana Rodrigues;;01/05/2026;ALTA;75.5;55.42;665.04;58.0;80.0;67.1;0;58.333333333333336;58.333333333333336;100.0;;;3;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000039;Criciuma | Sandra Ferreira;;01/05/2026;ALTA;75.5;61.12;733.44;64.0;80.0;67.3;0;64.33333333333333;64.33333333333333;100.0;;;3;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000040;Forquilhinha | Karina Souza;;01/05/2026;ALTA;75.5;60.48;725.76;64.0;80.0;67.2;0;63.666666666666664;63.666666666666664;100.0;;;3;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000041;Forquilhinha | Henrique Souza;;01/05/2026;ALTA;75.5;60.48;725.76;64.0;80.0;67.2;0;63.666666666666664;63.666666666666664;100.0;;;3;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000042;Forquilhinha | Karina Ribeiro;;01/05/2026;ALTA;75.4;46.23;554.76;49.0;80.0;66.9;0;48.666666666666664;48.666666666666664;100.0;;;3;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000043;Forquilhinha | Isabela Oliveira;;01/05/2026;ALTA;75.4;46.87;562.44;49.0;80.0;66.8;0;49.333333333333336;49.333333333333336;100.0;;;3;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000044;Forquilhinha | Gabriela Martins;;01/05/2026;ALTA;75.4;47.18;566.16;50.0;80.0;66.8;0;49.666666666666664;49.666666666666664;100.0;;;3;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
Coopera;COO000045;Forquilhinha | Gabriela Barbosa;;01/05/2026;ALTA;75.3;34.83;417.96;37.0;80.0;66.6;0;36.666666666666664;36.666666666666664;100.0;;;3;0;0;0;0;0;regra;Consumo zerou tendo histórico anterior
